iter	Passed	Remaining
0	142	142407
1	144	72056
2	146	48563
3	147	36828
4	150	29895
5	152	25227
6	153	21838
7	155	19287
8	157	17329
9	158	15737
10	160	14441
11	162	13367
12	163	12447
13	165	11679
14	167	10999
15	169	10394
16	170	9881
17	172	9417
18	174	9003
19	176	8632
20	177	8293
21	179	7997
22	181	7718
23	183	7464
24	185	7231
25	187	7008
26	188	6805
27	190	6621
28	192	6453
29	194	6291
30	196	6135
31	198	5995
32	199	5856
33	201	5728
34	203	5610
35	205	5491
36	206	5383
37	208	5288
38	210	5188
39	212	5093
40	214	5007
41	215	4922
42	217	4839
43	219	4761
44	220	4684
45	222	4618
46	224	4553
47	226	4486
48	227	4422
49	229	4360
50	231	4305
51	233	4250
52	234	4195
53	237	4154
54	238	4105
55	240	4053
56	242	4004
57	243	3957
58	245	3914
59	247	3870
60	248	3828
61	250	3791
62	252	3757
63	254	3720
64	256	3684
65	257	3649
66	259	3614
67	261	3583
68	263	3553
69	265	3524
70	267	3496
71	268	3464
72	270	3433
73	272	3404
74	273	3373
75	275	3346
76	276	3318
77	278	3290
78	280	3265
79	282	3244
80	284	3222
81	285	3201
82	286	3170
83	288	3148
84	290	3126
85	292	3106
86	293	3084
87	295	3065
88	297	3048
89	299	3027
90	301	3007
91	302	2988
92	304	2969
93	306	2952
94	308	2934
95	309	2918
96	311	2903
97	313	2885
98	315	2868
99	316	2851
100	318	2835
101	320	2819
102	321	2804
103	323	2788
104	325	2775
105	327	2761
106	329	2748
107	330	2733
108	332	2719
109	334	2705
110	336	2691
111	337	2679
112	339	2667
113	341	2657
114	343	2645
115	345	2631
116	346	2616
117	348	2604
118	350	2591
119	351	2579
120	353	2568
121	355	2555
122	356	2545
123	358	2535
124	360	2523
125	362	2513
126	364	2503
127	366	2493
128	367	2482
129	369	2471
130	371	2461
131	372	2451
132	374	2442
133	376	2432
134	377	2421
135	379	2414
136	381	2404
137	383	2396
138	385	2387
139	387	2379
140	389	2370
141	390	2359
142	392	2350
143	393	2341
144	395	2331
145	397	2323
146	398	2315
147	401	2308
148	402	2300
149	404	2293
150	406	2284
151	408	2277
152	409	2268
153	411	2261
154	413	2253
155	415	2247
156	417	2239
157	418	2230
158	420	2223
159	422	2216
160	423	2205
161	424	2198
162	426	2190
163	428	2183
164	430	2178
165	432	2171
166	433	2163
167	435	2156
168	436	2148
169	438	2141
170	440	2135
171	442	2129
172	444	2124
173	446	2119
174	448	2113
175	449	2106
176	451	2098
177	452	2091
178	454	2085
179	456	2078
180	457	2071
181	459	2065
182	461	2059
183	462	2052
184	464	2046
185	466	2039
186	467	2034
187	469	2028
188	471	2024
189	473	2018
190	475	2014
191	477	2009
192	479	2003
193	480	1998
194	482	1992
195	484	1988
196	486	1982
197	488	1976
198	489	1972
199	491	1967
200	493	1961
201	495	1956
202	497	1951
203	498	1946
204	500	1940
205	502	1935
206	503	1929
207	505	1925
208	507	1920
209	509	1915
210	510	1910
211	512	1905
212	514	1900
213	516	1897
214	518	1893
215	520	1889
216	522	1885
217	524	1880
218	525	1875
219	527	1870
220	529	1866
221	531	1861
222	532	1857
223	535	1854
224	537	1850
225	539	1846
226	540	1841
227	542	1836
228	544	1831
229	545	1826
230	547	1822
231	549	1817
232	551	1814
233	552	1810
234	554	1805
235	556	1801
236	557	1796
237	559	1790
238	560	1785
239	562	1781
