iter	Passed	Remaining
0	1	169
1	3	164
2	4	160
3	6	148
4	7	149
5	9	151
6	11	150
7	12	148
8	14	145
9	16	144
10	17	142
11	19	141
12	20	137
13	22	136
14	23	135
15	25	133
16	26	131
17	28	129
18	30	129
19	31	127
20	33	125
21	34	122
22	36	121
23	37	119
24	39	117
25	40	115
26	42	113
27	43	111
28	45	110
29	46	108
30	48	106
31	49	105
32	51	103
33	52	101
34	53	99
35	55	98
36	56	96
37	58	96
38	60	94
39	62	93
40	63	91
41	64	88
42	65	87
43	67	85
44	68	83
45	70	82
46	71	80
47	73	79
48	74	77
49	76	76
50	78	74
51	79	73
52	81	71
53	82	70
54	83	68
55	85	66
56	86	65
57	88	63
58	90	62
59	91	61
60	93	59
61	94	58
62	96	56
63	97	55
64	99	53
65	101	52
66	102	50
67	104	49
68	105	47
69	107	46
70	108	44
71	110	42
72	111	41
73	113	39
74	114	38
75	116	36
76	118	35
77	119	33
78	121	32
79	123	30
80	125	29
81	127	27
82	129	26
83	130	24
84	132	23
85	134	21
86	135	20
87	137	18
88	139	17
89	140	15
90	142	14
91	144	12
92	146	10
93	148	9
94	150	7
95	152	6
96	153	4
97	155	3
98	157	1
99	158	0
